IP地址 地区码	地区 延迟(ms) 下载速度(MB/s) 端口
2a06:98c1:3102:9231:38af:26eb:b45d:fe0f	LAX	洛杉矶	162.41	21.33	443
2803:f800:51:6993:4582:53f7:9ad3:5746	LAX	洛杉矶	162.69	19.72	443
2400:cb00:2049:bcfb:7198:e1ba:76fb:8f77	LAX	洛杉矶	163.48	19.26	443
2606:4700:3025:f0e4:bc6d:39f6:da40:cc79	LAX	洛杉矶	162.56	19.14	443
2a06:98c1:3122:5850:7c62:1a92:c0da:4ef2	LAX	洛杉矶	161.88	19.08	443
2a06:98c1:3102:b2d3:1aa6:a801:3003:670c	LAX	洛杉矶	163.2	18.94	443
2606:4700:3002:c27b:c836:6b4a:5a4f:fc43	LAX	洛杉矶	162.16	18.66	443
2a06:98c1:3105:b0f3:dca5:fb34:9f98:ae00	LAX	洛杉矶	163.67	18.51	443
2a06:98c1:3108:fc56:e7db:5519:e896:af9b	LAX	洛杉矶	162.28	18.46	443
2606:4700:3027:1ad7:641e:cc6:2f2:c410	LAX	洛杉矶	161.85	18.3	443
2606:4700:a1:96d:cc32:a11f:fd15:93b8	LAX	洛杉矶	163.29	18.13	443
2606:4700:a1:2b27:210e:41c2:cdba:3e75	LAX	洛杉矶	162.71	18.09	443
2606:4700:e:5e82:fc1b:5ee8:4056:8591	LAX	洛杉矶	162.3	17.36	443
2606:4700:3012:d257:46b7:b4e0:cb0:6f3a	LAX	洛杉矶	162.27	16.16	443
2a06:98c1:3122:dbe:cb3:216d:aeb4:3754	LAX	洛杉矶	163.16	15.99	443
2606:4700:3016:77ac:30e8:1ff4:5a78:c013	LAX	洛杉矶	161.74	14.46	443
2a06:98c1:3123:e646:57aa:abd3:fd71:261b	LAX	洛杉矶	162.09	13.64	443
